dataset,config,n_records,n_valid,sensitivity,specificity,fn,fp,decision_auto_rate,tier_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,status,issues
CLEF_CD010753,a13b_coverage_rule,2539,2539,1.0,0.0031758634378721714,0,2511,0.03505317053958251,0.03505317053958251,0.9649468294604174,0.03190232374950768,0.0031508467900748325,,,0.6093146908231587,ok,
CLEF_CD010753,a14c_difficulty_floor_100,2539,2539,1.0,0.0031758634378721714,0,2511,0.03505317053958251,0.03505317053958251,0.9649468294604174,0.03190232374950768,0.0031508467900748325,,,0.6093146908231587,ok,
CLEF_CD010753,a9,2539,2539,0.55,0.4553394204049226,9,1372,0.47144545096494683,0.47144545096494683,0.5285545490350532,0.016148089799133517,0.4552973611658133,,,-0.03542733359590394,ok,
CLEF_CD011140,a1,289,289,,0.9826989619377162,0,5,0.986159169550173,0.9965397923875432,0.01384083044982699,0.0034602076124567475,0.9826989619377162,,,,ok,
CLEF_CD011140,a11_rule_exclude,289,289,,0.71280276816609,0,83,0.726643598615917,0.726643598615917,0.27335640138408307,0.01384083044982699,0.71280276816609,,,,ok,
CLEF_CD011140,a13b_coverage_rule,289,289,,0.740484429065744,0,75,0.7508650519031141,0.7508650519031141,0.2491349480968858,0.010380622837370242,0.740484429065744,,,,ok,
CLEF_CD011140,a14c_difficulty_floor_100,289,289,,0.740484429065744,0,75,0.7508650519031141,0.7508650519031141,0.2491349480968858,0.010380622837370242,0.740484429065744,,,,ok,
CLEF_CD011140,a9,289,289,,0.11418685121107267,0,256,0.1245674740484429,0.1245674740484429,0.8754325259515571,0.010380622837370242,0.11418685121107267,,,,ok,
CLEF_CD011571,a1,146,146,0.8333333333333334,0.9357142857142857,1,9,0.9383561643835616,0.9863013698630136,0.06164383561643835,0.03424657534246575,0.9041095890410958,0.8198630136986301,,0.8541095890410958,ok,
CLEF_CD011571,a11_rule_exclude,146,146,1.0,0.22142857142857142,0,109,0.2465753424657534,0.2465753424657534,0.7534246575342466,0.03424657534246575,0.21232876712328766,0.31986301369863007,0.05958904109589036,0.05958904109589036,ok,
CLEF_CD011571,a13b_coverage_rule,146,146,1.0,0.22142857142857142,0,109,0.2465753424657534,0.2465753424657534,0.7534246575342466,0.03424657534246575,0.21232876712328766,0.31986301369863007,0.05958904109589036,0.05958904109589036,ok,
