file,dataset,config,n_records,n_valid,n_errors,n_skipped,old_metrics_schema_version,new_metrics_schema_version,old_auto_rate,new_decision_auto_rate,tier_auto_rate,delta_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,sensitivity,specificity,tp,fn,tn,fp,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,result_rows_sha256,status,issues
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a4.json,CLEF_CD001261,a4,571,571,0,0,1,2,0.5183887915936952,0.5183887915936952,0.5183887915936952,0.0,0.4816112084063047,0.08231173380035026,0.436077057793345,0.7272727272727273,0.4426229508196721,16,6,243,306,0.7661120840630472,0.7871278458844133,0.7871278458844133,0d3faba35632d33a65bc73d8b130672c4077b5f5bdbe45492f506e82cef2565d,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a5.json,CLEF_CD001261,a5,571,571,0,0,1,2,0.4203152364273205,0.4203152364273205,0.4203152364273205,0.0,0.5796847635726795,0.11733800350262696,0.30297723292469353,0.7272727272727273,0.30418943533697634,16,6,167,382,0.6732924693520139,0.279246935201401,0.279246935201401,3140ef26da7302bbacb59a7a4f3b17954fd381320e58114710cff5f81325099e,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a6.json,CLEF_CD001261,a6,571,571,0,0,1,2,0.45884413309982486,0.45884413309982486,0.45884413309982486,0.0,0.5411558669001751,0.13485113835376533,0.3239929947460595,0.9545454545454546,0.33515482695810567,21,1,184,365,0.7521015761821366,0.8221541155866899,0.8221541155866899,cc2049dd9d5b41458f86ea989332968ab73f8b62f3b76cc85606fdab18ad9893,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a7.json,CLEF_CD001261,a7,571,571,0,0,1,2,0.9702276707530648,0.9702276707530648,0.9702276707530648,0.0,0.0297723292469352,0.957968476357268,0.012259194395796848,0.9545454545454546,0.01092896174863388,21,1,6,543,0.7521015761821366,0.8309106830122591,0.8309106830122591,1a689f4a5cdf6fccd415ab9bb16693182ed2c678b53c4e7350bf3eff8502c068,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a8.json,CLEF_CD001261,a8,571,571,0,0,1,2,0.9702276707530648,0.9702276707530648,0.9702276707530648,0.0,0.0297723292469352,0.957968476357268,0.012259194395796848,0.9545454545454546,0.01092896174863388,21,1,6,543,0.7521015761821366,0.8309106830122591,0.8309106830122591,1a689f4a5cdf6fccd415ab9bb16693182ed2c678b53c4e7350bf3eff8502c068,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a9.json,CLEF_CD001261,a9,571,571,0,0,1,2,0.9702276707530648,0.9702276707530648,0.9702276707530648,0.0,0.0297723292469352,0.957968476357268,0.012259194395796848,0.9545454545454546,0.01092896174863388,21,1,6,543,0.7521015761821366,0.8309106830122591,0.8309106830122591,0a20e4cb3d8ba9fa40c97c84cd1a8c6dabb3bd28b8d317a570db37f1f6813adf,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a9_no_sprt.json,CLEF_CD001261,a9_no_sprt,571,571,0,0,1,2,0.5148861646234676,0.5148861646234676,0.5131348511383538,0.0,0.4851138353765324,0.11733800350262696,0.3975481611208406,0.9090909090909091,0.4098360655737705,20,2,225,324,0.7661120840630472,0.8274080560420315,0.8274080560420315,a69609f3667fc3d20bdb1724dc50af25e4cc0d6ee93ef9da76a07d1efc454955,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/solo_deepseek-v3.json,CLEF_CD001261,solo_deepseek-v3,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.06654991243432574,0.9334500875656743,0.7272727272727273,0.9599271402550091,16,6,527,22,0.05507880910683008,,0.7293345008756567,ff4d219893676f80ac52631ea670f6eecd015bd190feb3bf8962f6e262659de6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/solo_kimi-k2.json,CLEF_CD001261,solo_kimi-k2,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.06830122591943957,0.9316987740805605,0.6818181818181818,0.9562841530054644,15,7,525,24,0.05858143607705775,,0.69430823117338,315cfffe00a92e8d171f09b229a594ac734a46464fc6bbdc6e84574bbbe88685,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/solo_llama4-maverick.json,CLEF_CD001261,solo_llama4-maverick,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.12784588441331,0.87215411558669,0.9545454545454546,0.9052823315118397,21,1,497,52,0.05683012259194391,,0.8414185639229421,7e2a3ac4d14830bbeb1abe4874559acd6f62ef6efb8f69cd76e043e2e8b3b442,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/solo_qwen3.json,CLEF_CD001261,solo_qwen3,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.11033274956217162,0.8896672504378283,0.6818181818181818,0.912568306010929,15,7,501,48,0.06208406304728542,,0.759106830122592,dc5a659cfbfc0e10a7a551b884374b7a16e09a2f95049092d353e7e330b9b971,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD004414/a0.json,CLEF_CD004414,a0,336,336,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.0625,0.9375,0.8571428571428571,0.9544072948328267,6,1,314,15,0.44999999999999996,,0.7654761904761904,8b5f1b4b457e30cceceba2ff12e11c89bae71cee5d0e797202e8654bc98a3c84,ok,
