dataset,ranker,n_total,n_includes,reachable_095,work_095,wss_095,reachable_098,work_098,wss_098,reachable_0985,work_0985,wss_0985,reachable_099,work_099,wss_099
van_Dis_2020,lexical,9114,72,True,4989,0.45260039499670834,True,6450,0.29229756418696506,True,6450,0.29229756418696506,True,6481,0.2888962036427474
van_Dis_2020,llm,9114,72,True,3801,0.5829493087557603,True,8239,0.09600614439324118,True,8239,0.09600614439324118,True,8632,0.052885670397191165
Brouwer_2019,lexical,38076,62,True,6550,0.8279756276919845,True,10219,0.731615715936548,True,11325,0.7025685471162937,True,11325,0.7025685471162937
Brouwer_2019,llm,38076,62,True,13624,0.6421893055993277,True,27509,0.2775238995692825,True,30150,0.2081626221241727,True,30150,0.2081626221241727
Walker_2018,lexical,48153,759,True,42385,0.11978485244948389,True,46510,0.03412040786659187,True,46705,0.030070815940855145,True,47483,0.013913982514069723
Walker_2018,llm,48153,759,True,37660,0.21790957988079662,True,38826,0.19369509687869912,True,38984,0.19041388906194834,True,39330,0.18322845928602582
Donners_2021,fusion,257,15,True,184,0.2840466926070039,True,184,0.2840466926070039,True,184,0.2840466926070039,True,184,0.2840466926070039
Sep_2021,fusion,271,40,True,226,0.16605166051660514,True,271,0.0,True,271,0.0,True,271,0.0
Nelson_2002,fusion,365,80,True,228,0.37534246575342467,True,273,0.2520547945205479,True,273,0.2520547945205479,True,305,0.1643835616438356
van_der_Valk_2021,fusion,725,89,True,489,0.3255172413793104,True,563,0.22344827586206895,True,563,0.22344827586206895,True,718,0.0096551724137931
Meijboom_2021,fusion,882,37,True,493,0.44104308390022673,True,548,0.3786848072562359,True,548,0.3786848072562359,True,548,0.3786848072562359
Oud_2018,fusion,950,20,True,274,0.7115789473684211,True,383,0.5968421052631578,True,383,0.5968421052631578,True,383,0.5968421052631578
Menon_2022,fusion,975,74,True,580,0.40512820512820513,True,634,0.34974358974358977,True,634,0.34974358974358977,True,682,0.30051282051282047
Jeyaraman_2020,fusion,1173,96,True,996,0.15089514066496168,True,1062,0.09462915601023014,True,1062,0.09462915601023014,True,1157,0.013640238704177299
Chou_2004,fusion,1622,9,True,739,0.5443896424167693,True,739,0.5443896424167693,True,739,0.5443896424167693,True,739,0.5443896424167693
Chou_2003,fusion,1906,15,True,1494,0.21615949632738718,True,1494,0.21615949632738718,True,1494,0.21615949632738718,True,1494,0.21615949632738718
van_der_Waal_2022,fusion,1970,33,True,603,0.6939086294416243,True,619,0.6857868020304568,True,619,0.6857868020304568,True,619,0.6857868020304568
Smid_2020,fusion,2622,27,True,337,0.8714721586575134,True,367,0.8600305110602593,True,367,0.8600305110602593,True,367,0.8600305110602593
Muthu_2021,fusion,2719,336,True,2313,0.14931960279514522,True,2563,0.05737403457153367,True,2570,0.05479955866127251,True,2624,0.03493931592497246
Appenzeller-Herzog_2019,fusion,2868,26,True,1305,0.5449790794979079,True,2659,0.07287308228730827,True,2659,0.07287308228730827,True,2659,0.07287308228730827
Wolters_2018,fusion,4272,19,True,3430,0.19709737827715357,True,3430,0.19709737827715357,True,3430,0.19709737827715357,True,3430,0.19709737827715357
van_de_Schoot_2018,fusion,4538,38,True,4031,0.11172322609078889,True,4307,0.05090348171000436,True,4307,0.05090348171000436,True,4307,0.05090348171000436
Bos_2018,fusion,4878,10,True,317,0.9350143501435014,True,317,0.9350143501435014,True,317,0.9350143501435014,True,317,0.9350143501435014
Moran_2021,fusion,5199,111,True,4971,0.04385458742065784,True,5099,0.019234468166955176,True,5145,0.010386612810155849,True,5145,0.010386612810155849
Leenaars_2019,fusion,5767,17,True,96,0.9833535633778394,True,96,0.9833535633778394,True,96,0.9833535633778394,True,96,0.9833535633778394
Radjenovic_2013,fusion,5935,48,True,454,0.9235046335299073,True,469,0.9209772535804549,True,469,0.9209772535804549,True,469,0.9209772535804549
Leenaars_2020,fusion,7169,582,True,3731,0.47956479285813924,True,4413,0.384432975310364,True,4566,0.36309108662295997,True,5071,0.29264890500767193
Wassenaar_2017,fusion,7657,111,True,2948,0.6149928170301684,True,5914,0.22763484393365552,True,6253,0.18336162988115445,True,6253,0.18336162988115445
Hall_2012,fusion,8793,104,True,419,0.9523484590014785,True,603,0.9314227226202662,True,810,0.9078812691914022,True,810,0.9078812691914022
van_Dis_2020,fusion,9114,72,True,3237,0.6448321263989467,True,5526,0.39368005266622774,True,5526,0.39368005266622774,True,8569,0.05979811279350444
Brouwer_2019,fusion,38076,62,True,6211,0.8368788738312848,True,11260,0.7042756592079,True,30741,0.19264103372202968,True,30741,0.19264103372202968
Walker_2018,fusion,48153,759,True,37575,0.21967478661765627,True,38825,0.19371586401677987,True,39032,0.18941706643407474,True,39312,0.18360226777147837
