strategy,threshold,n,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,auto_rate,include_rate,exclude_rate
p_include_threshold,0.013214569196662963,58085,939,417,9248,47481,0.6924778761061947,0.8369793227449805,0.09217630313144204,0.9912939997494676,0.8336059223551692,1.0,0.175380907291039,0.824619092708961
p_include_threshold,0.0132217939212015,58085,939,417,9247,47482,0.6924778761061947,0.8369969504133689,0.09218535244453172,0.9912941815069208,0.8336231385039167,1.0,0.17536369114229147,0.8246363088577086
p_include_threshold,0.013229018645740038,58085,939,417,9247,47482,0.6924778761061947,0.8369969504133689,0.09218535244453172,0.9912941815069208,0.8336231385039167,1.0,0.17536369114229147,0.8246363088577086
p_include_threshold,0.013237364428042495,58085,939,417,9246,47483,0.6924778761061947,0.8370145780817572,0.09219440353460973,0.991294363256785,0.8336403546526642,1.0,0.17534647499354394,0.8246535250064561
p_include_threshold,0.013245710210344954,58085,939,417,9246,47483,0.6924778761061947,0.8370145780817572,0.09219440353460973,0.991294363256785,0.8336403546526642,1.0,0.17534647499354394,0.8246535250064561
p_include_threshold,0.013246522580432046,58085,939,417,9245,47484,0.6924778761061947,0.8370322057501455,0.09220345640219953,0.9912945449990606,0.8336575708014117,1.0,0.17532925884479642,0.8246707411552036
p_include_threshold,0.013247334950519137,58085,939,417,9245,47484,0.6924778761061947,0.8370322057501455,0.09220345640219953,0.9912945449990606,0.8336575708014117,1.0,0.17532925884479642,0.8246707411552036
p_include_threshold,0.013272748996177072,58085,939,417,9242,47487,0.6924778761061947,0.8370850887553103,0.09223062567527748,0.9912950901803608,0.8337092192476543,1.0,0.17527761039855386,0.8247223896014462
p_include_threshold,0.013298163041835008,58085,939,417,9242,47487,0.6924778761061947,0.8370850887553103,0.09223062567527748,0.9912950901803608,0.8337092192476543,1.0,0.17527761039855386,0.8247223896014462
p_include_threshold,0.013353471670871647,58085,939,417,9239,47490,0.6924778761061947,0.8371379717604752,0.09225781096482609,0.9912956352933809,0.8337608676938969,1.0,0.17522596195231127,0.8247740380476888
p_include_threshold,0.013408780299908286,58085,939,417,9239,47490,0.6924778761061947,0.8371379717604752,0.09225781096482609,0.9912956352933809,0.8337608676938969,1.0,0.17522596195231127,0.8247740380476888
p_include_threshold,0.013458597548772057,58085,939,417,9237,47492,0.6924778761061947,0.8371732270972518,0.09227594339622641,0.9912959986641341,0.8337952999913919,1.0,0.1751915296548162,0.8248084703451838
p_include_threshold,0.013508414797635827,58085,939,417,9237,47492,0.6924778761061947,0.8371732270972518,0.09227594339622641,0.9912959986641341,0.8337952999913919,1.0,0.1751915296548162,0.8248084703451838
p_include_threshold,0.013509575891473693,58085,939,417,9236,47493,0.6924778761061947,0.8371908547656401,0.09228501228501229,0.991296180338134,0.8338125161401394,1.0,0.17517431350606869,0.8248256864939313
p_include_threshold,0.013510736985311557,58085,939,417,9236,47493,0.6924778761061947,0.8371908547656401,0.09228501228501229,0.991296180338134,0.8338125161401394,1.0,0.17517431350606869,0.8248256864939313
p_include_threshold,0.01355114854260911,58085,939,417,9233,47496,0.6924778761061947,0.8372437377708051,0.09231222965001966,0.9912967253146328,0.833864164586382,1.0,0.17512266505982613,0.8248773349401739
p_include_threshold,0.01359156009990666,58085,939,417,9233,47496,0.6924778761061947,0.8372437377708051,0.09231222965001966,0.9912967253146328,0.833864164586382,1.0,0.17512266505982613,0.8248773349401739
p_include_threshold,0.013602504558895253,58085,939,417,9232,47497,0.6924778761061947,0.8372613654391934,0.09232130567299184,0.9912969069583003,0.8338813807351295,1.0,0.1751054489110786,0.8248945510889214
p_include_threshold,0.013613449017883845,58085,939,417,9232,47497,0.6924778761061947,0.8372613654391934,0.09232130567299184,0.9912969069583003,0.8338813807351295,1.0,0.1751054489110786,0.8248945510889214
p_include_threshold,0.013620820309295905,58085,939,417,9231,47498,0.6924778761061947,0.8372789931075817,0.09233038348082596,0.9912970885943859,0.8338985968838771,1.0,0.17508823276233107,0.8249117672376689
p_include_threshold,0.013628191600707966,58085,939,417,9231,47498,0.6924778761061947,0.8372789931075817,0.09233038348082596,0.9912970885943859,0.8338985968838771,1.0,0.17508823276233107,0.8249117672376689
