dataset,scope,true_label,proposed_direction,hr_primary_cause,n
Hall_2012,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,44
van_de_Schoot_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,43
Appenzeller-Herzog_2019,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,41
CLEF_CD012069,external,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,41
CLEF_CD012551,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,41
CLEF_CD012069,external,0,INCLUDE,include_blocked_by_low_ecs,40
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,40
Cohen_Antihistamines,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,39
Cohen_OralHypoglycemics,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,39
Donners_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,39
CLEF_CD006468,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,38
Moran_2021,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,37
Cohen_ACEInhibitors,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,36
van_de_Schoot_2018,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,36
Cohen_ACEInhibitors,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,34
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,33
Hall_2012,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,33
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,32
Radjenovic_2013,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,32
van_der_Valk_2021,other,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,32
CLEF_CD006468,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,31
Moran_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,31
Brouwer_2019,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,30
CLEF_CD010558,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,30
CLEF_CD010558,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,30
CLEF_CD012455,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,30
Menon_2022,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,30
Oud_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,30
CLEF_CD011571,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,29
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,28
Cohen_ADHD,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,28
Cohen_SkeletalMuscleRelaxants,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,28
Meijboom_2021,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,28
CLEF_CD000996,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,27
CLEF_CD012164,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,27
Cohen_AtypicalAntipsychotics,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,26
Radjenovic_2013,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,26
Cohen_Statins,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,25
Meijboom_2021,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,25
van_der_Waal_2022,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,25
CLEF_CD009069,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,24
CLEF_CD011768,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,24
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,24
Radjenovic_2013,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,24
CLEF_CD004414,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,22
CLEF_CD004414,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,22
Cohen_CalciumChannelBlockers,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,22
Oud_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,22
CLEF_CD012455,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,21
Cohen_Estrogens,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,21
Cohen_ProtonPumpInhibitors,external,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,20
Wolters_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,19
CLEF_CD006468,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,18
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,18
Cohen_ACEInhibitors,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,18
Cohen_ADHD,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,17
Cohen_SkeletalMuscleRelaxants,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,17
Cohen_Statins,external,0,INCLUDE,include_blocked_by_low_ecs,16
Meijboom_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,16
van_de_Schoot_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,16
CLEF_CD001261,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,15
CLEF_CD012069,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,15
Chou_2004,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,15
Cohen_Estrogens,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,15
Leenaars_2020,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,15
Sep_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,15
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,15
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,15
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,14
CLEF_CD009642,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,14
Jeyaraman_2020,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,14
Muthu_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,14
CLEF_CD010753,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,13
Cohen_Opiods,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,13
Cohen_ProtonPumpInhibitors,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,13
Cohen_Triptans,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,13
Cohen_UrinaryIncontinence,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,13
Donners_2021,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,13
van_der_Valk_2021,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,13
van_der_Valk_2021,other,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,13
CLEF_CD011977,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,12
CLEF_CD012551,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,12
Cohen_CalciumChannelBlockers,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,12
Cohen_CalciumChannelBlockers,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,12
Cohen_OralHypoglycemics,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,12
Cohen_OralHypoglycemics,external,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,12
Cohen_UrinaryIncontinence,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,12
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,12
Wassenaar_2017,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,12
CLEF_CD007867,external,0,INCLUDE,include_blocked_by_low_ecs,11
CLEF_CD012069,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,11
CLEF_CD012069,external,1,INCLUDE,include_blocked_by_low_ecs,11
CLEF_CD012551,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,11
Cohen_AtypicalAntipsychotics,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,11
Cohen_ProtonPumpInhibitors,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,11
Cohen_Statins,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,11
van_Dis_2020,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,11
Cohen_Triptans,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,10
Leenaars_2019,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,10
CLEF_CD012164,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,9
Cohen_Triptans,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,9
Wolters_2018,other,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,9
CLEF_CD006468,external,0,INCLUDE,include_blocked_by_low_ecs,8
CLEF_CD009069,external,0,INCLUDE,include_blocked_by_low_ecs,8
CLEF_CD010239,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,8
CLEF_CD011571,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,8
Chou_2003,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,8
Cohen_BetaBlockers,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,8
Cohen_Estrogens,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,8
Cohen_SkeletalMuscleRelaxants,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,8
Nelson_2002,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,8
Brouwer_2019,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,7
CLEF_CD011977,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,7
Cohen_Estrogens,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,7
Cohen_UrinaryIncontinence,external,0,INCLUDE,include_blocked_by_low_ecs,7
Smid_2020,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,7
Bos_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,6
CLEF_CD004414,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,6
CLEF_CD009069,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,6
CLEF_CD011768,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,6
Cohen_Antihistamines,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,6
Cohen_ProtonPumpInhibitors,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,6
Cohen_UrinaryIncontinence,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,6
Nelson_2002,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,6
CLEF_CD001261,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,5
CLEF_CD004414,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,5
CLEF_CD009069,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,5
CLEF_CD010753,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,5
Cohen_OralHypoglycemics,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,5
Cohen_OralHypoglycemics,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,5
Cohen_Triptans,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,5
Cohen_UrinaryIncontinence,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,5
Smid_2020,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,5
Brouwer_2019,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,4
CLEF_CD007867,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,4
CLEF_CD009642,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4
CLEF_CD010753,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4
CLEF_CD011571,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,4
CLEF_CD011977,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,4
Cohen_ADHD,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4
Cohen_ADHD,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,4
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,4
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,4
Cohen_Estrogens,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,4
Cohen_NSAIDS,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,4
Cohen_OralHypoglycemics,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,4
Cohen_SkeletalMuscleRelaxants,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4
Hall_2012,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4
Walker_2018,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,4
Bos_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,3
CLEF_CD010239,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,3
CLEF_CD010753,external,0,INCLUDE,include_blocked_by_low_ecs,3
CLEF_CD010753,external,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,3
CLEF_CD011977,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
CLEF_CD012551,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,3
CLEF_CD012551,external,0,INCLUDE,include_blocked_by_low_ecs,3
Chou_2004,other,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,3
Chou_2004,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,3
Cohen_AtypicalAntipsychotics,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Cohen_BetaBlockers,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,3
Cohen_NSAIDS,external,1,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Cohen_Opiods,external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,3
Cohen_OralHypoglycemics,external,0,INCLUDE,include_blocked_by_low_ecs,3
Cohen_ProtonPumpInhibitors,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,3
Cohen_Statins,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,3
Cohen_Statins,external,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,3
Jeyaraman_2020,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Moran_2021,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Radjenovic_2013,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,3
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Wassenaar_2017,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
van_der_Valk_2021,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3
Appenzeller-Herzog_2019,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,2
