scope,p_include_max,ecs_max,exclude_certainty_policy,model_policy,asreview_rank_min,selected_hr,selected_true_excludes,selected_true_includes_extra_fn,selection_precision_true_exclude,auto_rate_gain,new_auto_rate,new_fn,new_sensitivity
all,0.005,0.2,require_pass,early2,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.3,require_pass,any,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.3,require_pass,early2,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.4,require_pass,any,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.4,require_pass,early2,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.5,require_pass,any,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.005,0.5,require_pass,early2,,295,295,0,1.0,0.0012998973301430769,0.401020529564953,170,0.9593884376493073
all,0.002,0.3,ignore,any,0.95,288,288,0,1.0,0.0012690523087498513,0.40098968454355977,170,0.9593884376493073
all,0.002,0.3,ignore,early2,0.95,287,287,0,1.0,0.0012646458771222477,0.4009852781119322,170,0.9593884376493073
all,0.005,0.2,ignore,any,0.95,271,271,0,1.0,0.0011941429710805892,0.40091477520589053,170,0.9593884376493073
all,0.005,0.2,ignore,early2,0.95,270,270,0,1.0,0.0011897365394529856,0.4009103687742629,170,0.9593884376493073
all,0.002,0.2,require_pass,any,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.2,require_pass,early2,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.3,require_pass,any,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.3,require_pass,early2,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.4,require_pass,any,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.4,require_pass,early2,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.5,require_pass,any,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.5,require_pass,early2,,260,260,0,1.0,0.001145672223176949,0.4008663044579869,170,0.9593884376493073
all,0.002,0.2,ignore,any,0.95,235,235,0,1.0,0.0010355114324868578,0.4007561436672968,170,0.9593884376493073
all,0.002,0.2,ignore,early2,0.95,234,234,0,1.0,0.0010311050008592541,0.40075173723566915,170,0.9593884376493073
all,0.005,0.2,require_pass,any,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.2,require_pass,early2,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.3,require_pass,any,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.3,require_pass,early2,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.4,require_pass,any,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.4,require_pass,early2,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.5,require_pass,any,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.005,0.5,require_pass,early2,0.5,204,204,0,1.0,0.0008989120520311447,0.40061954428684105,170,0.9593884376493073
all,0.002,0.2,require_pass,any,0.5,175,175,0,1.0,0.0007711255348306388,0.4004917577696406,170,0.9593884376493073
all,0.002,0.2,require_pass,early2,0.5,175,175,0,1.0,0.0007711255348306388,0.4004917577696406,170,0.9593884376493073
all,0.002,0.3,require_pass,any,0.5,175,175,0,1.0,0.0007711255348306388,0.4004917577696406,170,0.9593884376493073
all,0.002,0.3,require_pass,early2,0.5,175,175,0,1.0,0.0007711255348306388,0.4004917577696406,170,0.9593884376493073
